rel_height,extension,rel_speed,spin_rate,spin_axis,active spin %,horz_break,induced_vert_break
5.366383194,6.276585046,93.0842128,2431.439413,137.2181005,91.72861873,-11.292503,16.76976683
5.21508651,6.232000107,91.88908817,2296.245848,132.0303233,94.42124986,-10.43711155,14.32469564
5.187688469,6.114219132,77.34140732,2890.407587,302.8181232,61.38817369,11.22625109,-6.764997837
5.187436721,6.314034086,93.7737689,2194.519437,131.2401248,92.61805616,-8.564559792,15.61227893
5.361987641,6.122411007,92.11137058,2331.4812,136.6724742,85.82619543,-6.599569013,18.92735296
5.464068463,5.805361504,76.77959873,2764.002569,294.1081655,61.62036522,9.920394825,-8.770988993
5.305479577,5.928215737,77.45507481,2813.496221,292.0440481,69.79504066,10.65272324,-10.5977283
5.391260197,6.339175934,92.74805119,2176.87036,136.9971965,91.48787857,-10.50809829,15.20619111
5.208645871,6.203993077,80.952374,1570.034686,124.1834717,75.82516535,-7.376415267,12.03691569
5.264351895,6.214990372,91.10214664,2270.663573,131.5880168,88.88164993,-10.43787258,16.45055394
5.109685434,6.206268786,82.83975799,1703.759563,122.5138355,89.04198018,-10.65465956,9.212068401
5.24577575,6.07060265,92.07931187,2383.386229,132.1766399,94.56979684,-12.7724263,17.34343152
5.47539725,6.24245463,92.90290403,2222.189359,136.2365695,98.08392822,-8.815041397,16.51628017
5.235009244,6.111680741,93.33910038,2099.447997,132.6710551,86.84647749,-9.36002796,15.19565206
5.418662561,6.140664099,83.44693572,1625.681926,123.2210194,87.42569664,-6.704282574,9.6758736
5.2539063,6.110339398,93.28673222,2310.871336,133.082783,85.96245752,-10.62395351,15.77171808
5.21965708,6.152330252,82.77356714,1572.095051,115.4286092,59.39954811,-6.927514393,5.93735933
5.220543179,6.154055924,78.0104971,2864.453382,301.3071115,51.81715595,7.7323197,-6.682408408
5.353631332,6.320630668,84.02061292,1701.937416,128.233148,66.79739962,-2.99043775,7.050189712
5.126512322,6.160028786,76.88177396,2808.129408,284.246229,52.91061572,11.9886912,-5.126499728
5.306424889,6.328198762,93.79612638,2126.627515,138.272366,90.32853762,-7.740988642,14.47581007
5.141091618,6.143948407,79.00627805,2737.346449,298.9601267,66.50337422,10.49429308,-9.619680957
5.299062847,6.17970604,93.26264908,2306.381307,131.0978765,86.16580762,-5.532030705,18.13791373
5.212864194,6.242354245,84.12904264,1639.306194,123.4437904,85.85460403,-11.1106841,8.118326881
5.259858249,6.298572961,92.97732498,2388.640584,124.3618231,91.33536852,-13.05130542,14.88886549
5.317632624,5.986438499,93.41583699,2206.234216,134.0033957,82.10817779,-4.024993146,15.11073331
5.204118047,6.075877042,78.66665555,2607.873792,285.9078806,40.01510569,7.059603083,-7.624222354
5.222444198,6.098621946,81.05006742,1630.723542,125.3187204,84.82587081,-6.758794145,10.6141753
5.232107785,6.245524826,81.51732259,1658.302432,117.7964453,82.64183555,-6.249802993,10.12655561
5.136125788,6.076186,82.89248368,1600.491089,116.6673036,71.14704648,-7.083862362,6.981947056
5.169114736,6.17428297,92.15930562,2224.638872,132.4925958,88.73452364,-12.01403499,12.7396653
5.317202581,6.054654596,94.9210263,2179.633939,134.0049586,89.97844564,-8.969233251,16.95748325
5.25575166,6.264027352,92.02004673,2233.014159,130.7464793,92.15791,-11.95344799,11.42828851
5.132196221,6.471794865,81.71113774,1679.644413,118.9614997,83.30435269,-8.815197448,8.536095731
5.332064734,6.558647289,83.92081434,1729.227498,121.9882767,80.04606437,-7.536877561,12.09014212
5.601184032,6.192926985,93.04475736,2279.911283,141.720151,92.20698327,-8.617186402,17.01448917
5.273308804,5.80198645,76.31837131,2923.115118,291.6278493,70.270521,13.12315171,-12.43032413
5.41215272,6.022084971,94.15367212,2217.583142,136.3140426,91.05019262,-12.26921187,16.94215513
5.162945284,6.096651552,92.35847289,2234.456205,131.4728999,87.70554883,-9.216716504,15.54705806
5.231106808,6.204111809,82.01733829,1643.478167,114.685524,89.83155072,-8.991681113,13.74375429
5.211458733,6.297806019,92.45687534,2167.318846,131.8489421,88.39509954,-11.89411705,15.68425088
5.299358381,5.927713392,95.609747,2322.226224,134.9544215,87.17593529,-9.621472097,16.7388763
5.272680967,6.151788715,82.65270404,1603.748432,119.7071035,79.37854162,-5.037414262,8.110944346
5.229328645,6.075131415,83.16465575,1719.059246,126.3570744,78.14473314,-7.755414299,9.647749744
5.268324992,6.164644342,91.85548734,2186.729886,137.5015536,95.93579233,-6.079776619,15.68860817
5.296139253,5.746271132,94.53051574,2340.980863,137.9974971,84.54418049,-8.061770654,16.95031543
5.290941728,5.931417463,79.66357238,2604.682501,296.3872074,41.63669676,6.917281997,-1.942628416
5.296822075,6.234043661,80.77968481,2946.205649,288.2814239,39.41309317,12.08367001,-6.254983954
5.237490772,6.294074479,90.8744426,2196.67745,130.0080938,85.72293105,-12.55844844,15.96022131
5.232515348,6.052666662,83.1404248,1711.395672,124.2573963,89.73400897,-10.29510432,8.300124966
5.286064245,6.310714596,84.11028989,1635.386591,123.9343482,80.49505356,-5.898938109,11.70914112
5.326976686,6.055840853,75.14483385,2803.728832,291.6973529,67.81598894,15.02293172,-10.66545271
5.252922653,6.175358716,91.9577861,2379.071981,129.8928747,84.11432629,-10.64524711,14.60041334
5.291240881,5.68574283,83.266787,1663.520174,121.312659,88.41198245,-9.040459602,9.117737465
5.33369117,5.788499111,78.24703648,2813.47083,299.070812,64.33397796,10.63839619,-10.64749961
5.34394647,6.15289068,81.39005096,2745.966192,288.1373599,48.32276574,8.536395919,-6.769202265
5.170828137,5.971651406,81.72585965,1627.187175,120.1757698,84.22830026,-12.01362581,9.038390853
5.323598435,6.007208103,79.22361423,2823.690801,287.0021169,57.87434296,10.46823685,-9.222975306
5.224121107,5.961469172,81.96368224,1626.619304,122.7011982,79.12729282,-7.314792923,10.10790619
5.229794143,6.202607575,94.04663803,2358.866659,130.2746496,94.01570189,-10.58816779,14.31755736
5.407981755,6.141378397,93.46344846,2285.269175,136.9733871,88.63476498,-7.587557447,16.29438596
5.282527088,6.222806397,93.28799393,2189.733358,130.9881811,91.95228065,-8.656198147,14.43029311
5.358930601,5.993787287,81.70722015,2739.883429,264.4992069,41.36203593,6.017305267,-0.221090081
5.241632096,6.064766709,79.75628604,2800.265434,294.1151932,65.18513672,10.61524366,-7.311428329
5.112342629,6.138350339,92.46884061,2255.287671,131.2494168,90.15208258,-10.980719,15.19171621
5.381559899,6.195297474,93.97997715,2148.956541,131.1279338,93.20882889,-7.909929445,14.22320943
5.226526311,6.282382244,94.12231113,2172.269286,132.1378978,95.00521104,-10.72586029,11.66610151
5.210206649,6.178442579,81.63812589,1730.752961,118.973887,75.63473736,-6.745163278,10.24381588
5.316153239,5.795828318,78.25242848,2689.542773,300.4716756,56.0242552,12.48766422,-3.165541436
5.270031026,6.240250344,81.17728092,1582.196063,118.6727676,73.46671704,-7.949184432,10.24297133
5.28522115,6.150280709,93.34596683,2323.854247,136.4145854,100.3887429,-14.42527263,15.07684999
5.271101525,6.075085396,90.97766544,2182.221678,132.6654094,79.21543557,-7.997365644,13.54323201
5.363256028,6.052662606,79.40651371,2747.209844,287.9560659,60.89590292,10.46370976,-4.598192744
5.310389614,6.211508973,91.50640023,2231.555072,137.023013,79.80886541,-5.823432442,15.25167831
5.192847742,5.923528669,79.62140472,2826.995977,283.5520328,53.16500441,8.239394081,-4.334022078
5.302764128,6.099167799,83.68137593,1719.231111,127.2083957,81.76971655,-8.526020973,12.59309547
5.282875678,6.316377264,82.7924838,1717.078157,123.7798639,82.241913,-9.332343415,10.98464439
5.216379693,6.222659344,92.00322391,2248.972899,134.7825206,89.79330014,-11.72413891,15.96308618
5.272065213,6.048888439,91.46234562,2105.880125,135.4078105,88.01706249,-9.308505705,14.93817334
5.221328309,6.069948429,82.03229191,1619.852557,118.5613098,73.59994787,-8.649354949,7.519196894
5.2756716,6.293352547,92.29064896,2381.186483,129.0558844,88.55065211,-11.03333056,15.74178221
5.178742555,6.290950241,78.14831929,2789.176925,300.26102,54.56732977,8.029071505,-6.012108079
5.295806935,6.150002236,80.893559,1735.27785,123.5783005,77.92600482,-7.701711669,10.90711012
5.200034669,6.185404534,79.36487247,2858.930547,305.0741689,53.38619019,11.40727608,-9.245307498
5.464060453,6.172527733,94.21323018,2271.305131,142.7539636,87.443615,-8.230199578,15.05823257
5.322332909,6.042477364,92.62770512,2415.986815,130.785786,96.90540049,-13.11745231,17.36848836
5.290507367,5.737717861,76.62904789,2688.741094,289.7317007,68.30770789,13.70216172,-9.314318232
5.093302045,6.235394807,82.3162222,1621.375896,118.0482444,85.83370914,-10.11055059,8.792140701
5.140061429,6.020741219,81.28050663,1631.174701,120.0742645,81.16379419,-9.935911193,7.084564116
5.303442052,6.268076653,90.89336826,2235.318114,133.4761394,84.8254595,-10.67221039,14.59468656
5.374047806,5.893948311,75.00263645,2805.427862,292.1642263,74.61604933,11.40570919,-7.687509112
5.27638202,6.226001496,83.09582188,1656.850482,129.4255905,73.91160019,-6.627381339,8.358302023
5.273470542,5.966393572,77.10647917,2730.114722,290.083206,57.43931067,10.77831714,-5.632401489
5.174201539,5.989427323,77.44138004,2744.547002,295.9448965,65.14872412,10.21128552,-4.424027018
5.268613389,6.181230778,77.7509351,2935.363409,284.3375051,56.68653562,12.374916,-7.505968623
5.439715334,6.066956336,90.17210529,2054.164987,136.0056184,89.15147423,-8.63742204,13.37244646
5.371464136,6.136643761,80.83772925,2800.224606,287.8734724,67.78202744,9.62783703,-5.561752177
5.283092155,5.937123115,93.98292059,2234.011083,133.5212887,90.62675372,-8.793466694,15.69850553
5.208593382,6.165659426,83.22731597,1764.473797,124.1854206,87.2367212,-9.380290322,8.377258144
5.157993463,6.343275013,82.88467793,1672.300479,112.6066946,81.41897837,-12.015644,7.531368899
5.336083986,5.995595264,88.25398107,2009.325755,135.7359166,88.72162864,-12.66582439,12.30196884
5.309021591,6.067637387,92.12310745,2304.982137,133.1892157,87.81278088,-6.34972823,14.79699519
5.268942271,6.463315041,82.77051778,1706.39834,119.44012,58.08487087,-4.699153108,8.1076015
5.191972879,6.30682558,93.84543233,2289.87935,136.0362665,98.88802154,-7.281995538,19.03174141
5.287979176,6.290732617,84.40297367,1684.645282,120.929039,91.95171146,-11.34609033,8.434513952
5.108029491,6.180871692,83.12660112,1619.066805,108.1791012,82.48043434,-7.075761772,9.030512382
5.219424388,6.322537523,95.19248533,2245.314847,133.4333316,90.94824767,-10.7788218,15.18377971
5.242288126,5.881135939,92.4167691,2172.368314,135.2111354,89.51697878,-11.01998208,13.32511707
5.254073283,6.118780237,92.47833586,2172.870755,132.4242221,96.31079445,-10.78947053,17.1352911
5.326262269,6.370340676,93.91123105,2131.126294,132.1659207,90.40447053,-7.668611914,17.3084841
5.261744163,6.143712145,84.2277255,1809.252839,124.1235986,85.20926942,-7.882704095,9.432963828
5.267835153,6.129329203,94.48914153,2318.033598,135.9933162,93.77757235,-12.28331635,17.68364139
5.365540217,5.794933771,93.4053597,2206.799849,131.7835894,88.57426489,-10.78944649,14.987494
5.430876782,6.039974922,93.12671329,2215.538817,147.5023387,82.98490931,-5.884600332,15.09224515
5.182510903,6.524486775,90.93577244,2293.970213,132.0355113,99.41081631,-13.00910633,15.31771379
5.411520247,6.076687063,93.7367848,2271.118372,136.1062041,83.04130398,-9.373300052,17.04527175
5.344956888,5.921848295,93.94019897,2475.828031,143.0714412,82.92067969,-7.602635122,18.85444065
5.114418176,6.323634567,83.09780507,1671.877506,113.3822988,74.44353105,-6.755721019,9.371039558
5.225002339,6.020410771,80.0952573,1494.5143,118.1525497,86.98088002,-9.130217567,10.19447985
5.487386277,5.819622273,91.78937962,2338.793944,138.7608989,82.46377039,-9.723271063,16.85093122
5.265088676,6.142777863,93.44442703,2370.370321,133.8481665,79.13103019,-9.445732716,15.95902159
5.23571687,6.082401509,81.92902805,1639.431781,121.0211563,76.09589418,-6.995761886,12.43643561
5.291571596,6.448608674,94.95867836,2305.628443,136.9518279,91.2996483,-9.661673809,15.23650364
5.274482119,6.308292469,78.43393122,2831.537964,290.2443108,58.11136073,9.259485595,-8.700757281
5.198898366,6.087804074,80.69594242,1537.761737,129.17556,88.16772592,-6.708188071,8.012682821
5.166712811,6.183233971,93.73708012,2345.410643,133.6292308,86.18665646,-7.804629972,14.89179235
5.280755056,6.030958651,92.61351592,1936.224882,133.350143,91.76060689,-10.1045234,16.85671421
5.170664361,6.073033566,82.97107365,1634.705951,118.557724,81.9121446,-9.223957076,8.021998312
5.402242234,5.75314402,75.99843265,2758.084356,293.1287343,57.16862161,9.720787929,-7.992287211
5.3009372,6.148844584,96.0067177,2301.938295,131.2826262,94.78288573,-11.69725063,15.52661598
5.212385228,6.322769875,91.88597538,2206.143797,133.063145,86.2544085,-9.618199995,16.7312737
5.26800807,5.834733134,83.59045073,1628.651591,116.5996524,65.11472871,-4.07619442,6.903739495
5.298698697,6.176921696,79.38147641,2839.537611,306.0176218,60.4734291,10.68726717,-6.623794631
5.333843372,6.091609102,78.83159208,2780.968726,293.2572783,53.3082564,11.41630427,-7.508976005
5.21708875,6.043630356,79.33572056,2863.676654,234.1212997,99.89038662,-4.03777267,9.210193541
5.380863856,6.15208528,77.47606892,2776.867724,292.683315,53.94081954,8.565215111,-1.48040631
5.337499808,5.952796435,82.85775227,1709.966829,110.7256305,80.72360915,-6.633356064,5.322161847
5.23207536,6.149125519,93.00345235,2246.860063,133.1037256,91.3825381,-12.14507175,18.5258477
5.289042613,6.170055967,82.70695066,1699.908479,127.5159708,86.66020947,-7.725395516,9.716936568
5.278901627,6.006161446,92.35972263,2360.968748,133.4622691,93.44225113,-13.69370334,17.54264646
5.169707921,6.284570637,81.36781697,1639.637759,116.0812582,74.61606114,-3.640254901,9.665840316
5.24511621,6.04678406,82.12560168,1754.047923,119.1433886,67.65009409,-7.657403112,9.143761371
5.339468688,6.44950608,82.12075055,1626.352434,124.0823006,68.20913149,-2.612798363,7.001047102
